제목,상품코드,상품ID,리뷰_내용,평점,감정키워드,작성자,작성일,도움됨,댓글수
트렌드 코리아 2026,9791193638859,S000217467412,기사 챗gtp만 찿아봐도 다 있는 내용 같은데.. 짜집기한거 같은 저는 별롭니다. 이첵,3,쉬웠어요,eu****,2025-11-01,26,2
트렌드 코리아 2026,9791193638859,S000217467412,"31 대한민국의 트렌드를 10가지로 나누어 분석하십니다

전반부는 전년도 분석한 것에 대한 검증 

후반부는 다가오는 2026년에 대한 트렌드 10가지를 말해주십니다
2026트렌트코리아에서 선정한 2026트렌드로는 
휴먼인더루프
필코노미
제로클릭
레디코어
AX조직
픽셀라이프
프라이스 디코딩
건강지능 HQ
1.5가구
근본이즘입니다
구체적인 내용을 적거나 그대로 옮기는 것은 리뷰 가이드 라인에 위배되니 되도록 책을 구입하여 보시는 것을 추천하구요 일부는 오디오 북으로 미래의 창에서 제공하기도 하니 참고 바랍니다
내용을 그대로 옮기는 것은 옳지않다고 생각하여 느낌위주로 정리해보겠습니다 

[리뷰 콘텐츠 가이드라인] ""트렌드 코리아 2021"" 책 리뷰를 하고 싶은데... 책 리뷰, 어디까지 제작 가능한가요?
https://www.youtube.com/watch?v=e9P51S6IAQw

이 책의 가장 큰 장점입니다
일독을 권합니다


32 저자께서 박학 다식하시구요 좋은 책의 소개 및 신조어를 많이 소개해주십니다 
매우 유익합니다
참고 바랍니다

33 10개 챕터 하나하나가 모두 명강의이고 단행본으로 나와도 
손색없을 좋은 내용들 입니다
진심으로 일독을 권합니다

34 일부는 요즈음 제가 공부하는 시험과 겹치는 내용이기도 하여 흥미롭게 보았습니다 
예를들어 
255페이지전후 KPI 와 OKR은 인사관리에서 중요하게 다루는 내용인데 이 곳에서 또 만나서 반갑네요 
일독을 권합니다


35 하루 한 챕터씩 보았구요 보면서 밑줄도 치고 포스트잇으로 또 볼 것 정리할 것 등등 공부하면서 보았습니다
필사해보기도 하였구요 
이 내용들을 현실에 적용해보면 삶이 더 알차질 듯합니다


36 뒤에 주석부분 자세하구요 
공저자 소개 많은 부분 할애하셨고
Trenders 날 2026 집필진 소개해주셨네요 참석하신분들께서 영광스럽게 생각하셨을거라 생각되구요 
트렌드코리아2027에 실릴 트렌드코리아2026의 사례모집 안내도 있습니다 
책 보시다가 
아 이거 이러한 사례가 있다고 생각되시면 투고하셔서 다음연도 책에 정보를 더해주실 수 있는 기회를 주셨네요 
저도 잘 조사해보고 투고 해보려고 기획중입니다
감사합니다",4,최고예요,wz*****,2025-10-06,8,0
트렌드 코리아 2026,9791193638859,S000217467412,고2 아들이 추석 때 본답니다.,4,추천해요,or*****,2025-09-26,5,0
트렌드 코리아 2026,9791193638859,S000217467412,책 내용은 좋으나 품질상태가 최악이네요 받자마자 보니까 책 접합부 부분이 찢어져있네요  리뷰보고 걱정했는데 설마가 현실이네요 교보문고가 좋은일 한다고 해서 여기서 샀는데 다시는 여기서 안사게 되었네요,1,최고예요,ki****,2025-10-30,4,1
트렌드 코리아 2026,9791193638859,S000217467412,해마다 기다리게 되는…필독서입니다,4,추천해요,la******,2025-09-17,4,0
트렌드 코리아 2026,9791193638859,S000217467412,1년 기다렸습니다 바로 예약구매했습니다,4,도움돼요,jy*****,2025-09-22,3,0
트렌드 코리아 2026,9791193638859,S000217467412,2018부터 쭈욱 보던 책입니다. 다들 꼭 읽어보시면 아주 좋습니다.,4,추천해요,wj********,2025-10-19,2,0
트렌드 코리아 2026,9791193638859,S000217467412,26년을 준비하는데 도움이 됐어요^^,4,집중돼요,hm*****,2025-10-06,2,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드에대해서 잘설명해주시네요.도움되요.,4,도움돼요,wa****,2025-11-26,1,0
트렌드 코리아 2026,9791193638859,S000217467412,"현대사회를 살아감에 읽어두면 분명히 도움이
되는 책이라 생각해요.",4,추천해요,qk********************,2025-11-08,1,0
트렌드 코리아 2026,9791193638859,S000217467412,세상이 빨리 바뀌는 만큼 필요한 책인 것 같아요.,4,도움돼요,bo********,2025-10-07,1,0
